Name,Price
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Cardamom (pack),"₦1,000.00"
Fennel Seed (bowl),"₦5,000.00"
Chia Seed (per kg),"₦6,500.00"
Egusi - (Paint Bucke...,"₦3,500.00"
Chia Seed (per pack),"₦1,625.00"
Oregano (per kg),"₦8,500.00"
Oregano (per pack),₦850.00
Coriander (per kg),"₦2,750.00"
Coriander (per pack),₦750.00
Saffron (per pack),"₦1,200.00"
Dried Plantain (pain...,"₦2,100.00"
Thyme (pack),₦750.00
Ata rodo-Red Pepper ...,"₦41,250.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
Goat meat (2kg),"₦6,000.00"
Beans Oloyin (paint ...,"₦2,850.00"
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Lime (paint bucket),"₦2,200.00"
Avocado - big (dozen...,"₦4,400.00"
Big Prawn (paint Buc...,"₦8,750.00"
Avocado - small (doz...,"₦2,800.00"
Waterleaf - Gbure (b...,"₦3,000.00"
Ata Ijosi (paint buc...,"₦2,750.00"
Ata Ijosi (derica),"₦1,000.00"
Dry Green Peas (deri...,"₦1,000.00"
Thyme (per kg),"₦4,400.00"
Scent Leaf (pack),₦875.00
Eggplant (per kg),₦750.00
Marrow (basket),"₦6,750.00"
Beans Oloyin (paint ...,"₦2,850.00"
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Ata rodo-Red Pepper ...,"₦41,250.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
Goat meat (2kg),"₦6,000.00"
Ponmo - Fresh (4pcs),"₦1,200.00"
Oha (bunch),₦250.00
Avocado- medium (doz...,"₦3,650.00"
Uziza (bunch),₦300.00
Plantain small unrip...,"₦3,700.00"
Smoked Catfish agric...,"₦10,000.00"
Bonga Fish Agbodo - ...,"₦11,000.00"
Okazi (bunch),₦600.00
Pepper Soup Spice (d...,"₦4,750.00"
Pepper Soup Spice (p...,₦500.00
Chicken wings (carto...,"₦22,500.00"
Chicken Breasts with...,"₦22,000.00"
Ata rodo-Red Pepper ...,"₦41,250.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
Goat meat (2kg),"₦6,000.00"
Beans Oloyin (paint ...,"₦2,850.00"
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Cameroun Pepper - (p...,"₦5,000.00"
Cameroun Pepper - gr...,"₦8,750.00"
Chicken lap Orobo (k...,"₦2,500.00"
Chicken breast with ...,"₦2,200.00"
Chicken lap Orobo (c...,"₦25,000.00"
Boneless Chicken (kg...,"₦3,850.00"
Chicken wings (kg),"₦2,250.00"
Premium beef (beef o...,"₦3,400.00"
Coconut - big (dozen...,"₦4,500.00"
Turkey - carton (10k...,"₦24,000.00"
Beet root (10kg),"₦7,900.00"
Watermelon - medium ...,"₦6,600.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
Goat meat (2kg),"₦6,000.00"
Beans Oloyin (paint ...,"₦2,850.00"
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Ata rodo-Red Pepper ...,"₦41,250.00"
Garlic (paint bucket...,"₦4,500.00"
Tumeric - paint buck...,"₦2,100.00"
Fennel seed (kg),"₦2,100.00"
Benue Ogoja Yam - bi...,"₦92,500.00"
Sombo Pepper-Grade B...,"₦15,000.00"
Maize-yellow (paint ...,"₦1,420.00"
Maize-white (paint b...,"₦1,420.00"
Mama's Pride Rice (5...,"₦24,500.00"
Fresh Catfish Large-...,"₦3,600.00"
Fresh Catfish- Mediu...,"₦1,200.00"
Fresh Catfish- Big F...,"₦1,800.00"
Palm Oil - local (5 ...,"₦3,500.00"
Ata rodo-Red Pepper ...,"₦41,250.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
