Name,Price
GERBER RICE CEREAL SINGLE GRAIN 227g,"₦1,720.00"
GEURTS STRAWBERRY JAM 450g,₦940.00
GINO BAKED BEANS IN TOMATO SAUCE 425g,₦500.00
GINO THAI JASMINE RICE 1kg,"₦1,600.00"
GINO THAI JASMINE RICE 5kg,"₦7,500.00"
GINO TIN TOMATO PASTE 210g,₦250.00
GINO TIN TOMATOES 70g,₦80.00
GINO TOMATO PASTE TIN 2200g,"₦1,940.00"
GINO TOMATO PASTE TIN 400g,₦430.00
GOAT LEG,₦550.00
GOAT MEAT (PORTION),"₦1,200.00"
GOLD'S CUSTARD POWDER 2Kg,"₦1,870.00"
GOLDEN COUNTRY CORN FLAKES 500g,₦910.00
GOLDEN COUNTRY CORNFLAKES 500g,"₦1,000.00"
GOLDEN COUNTRY QUICK COOKING WHITE OATS TIN 500g,₦835.00
GOLDEN COUNTRY WHITE OATS 500g,₦670.00
GOLDEN PENNY COUSCOUS 500g,₦400.00
GOLDEN PENNY FLOUR 50kg,₦11.55
GOLDEN PENNY MARCARONI,₦240.00
GOLDEN PENNY NOODLES,₦60.00
GOLDEN PENNY PREMIUM WHITE SUGAR 500g,₦400.00
GOLDEN PENNY REFINED SUGAR 1Kg,₦500.00
GOLDEN PENNY SEMOVITA 10kg,"₦3,300.00"
GOLDEN PENNY SEMOVITA 1kg,₦400.00
GOLDEN PENNY SEMOVITA 2kg,₦860.00
GOLDEN PENNY SPAGHETI,₦250.00
GOLDEN PENNY SPAGHETTI CARTON,"₦4,300.00"
GOLDEN PENNY WHEAT 1kg,₦350.00
GOLDEN PENNY WHITE CUBE SUGAR 500g,₦345.00
GOLDEN PENNY WHOLE WHEAT 10kg,"₦2,940.00"
GOLDEN PENNY WHOLE WHEAT 2kg,₦625.00
GOLDEN PENNY WHOLE WHEAT 5kg,"₦1,500.00"
GOOD MORNING WHITE OATS 500g,"₦1,100.00"
GOOD MORNING WHITE OATS QUICK COOKING 500g,₦550.00
GRACIA PLANTA PLANTAIN FLOUR 1kg,"₦2,400.00"
GRAEMOH PURE NATURAL HONEY (500ml),"₦1,300.00"
