Movie,Year,RunTime,imdb,Genre,votes
One Flew Over the Cuckoo's Nest,1975,133 minutes,8.7,Drama,936544
12 Angry Men,1957,96 minutes,9.0,"Crime, Drama",709655
Indiana Jones and the Last Crusade,1989,127 minutes,8.2,"Action, Adventure",704580
The Terminator,1984,107 minutes,8.0,"Action, Sci-Fi",809323
The Sandlot,1993,101 minutes,7.8,"Comedy, Drama, Family",81402
Captain America: Civil War,2016,147 minutes,7.8,"Action, Adventure, Sci-Fi",688826
Zootopia,2016,108 minutes,8.0,"Animation, Adventure, Comedy",446933
Sen to Chihiro no kamikakushi,2001,125 minutes,8.6,"Animation, Adventure, Family",674736
Batman Begins,2005,140 minutes,8.2,"Action, Adventure",1337114
The Trial of the Chicago 7,2020,129 minutes,7.8,"Drama, History, Thriller",148691
A Clockwork Orange,1971,136 minutes,8.3,"Crime, Drama, Sci-Fi",772087
Chinatown,1974,130 minutes,8.2,"Drama, Mystery, Thriller",301636
Big Fish,2003,125 minutes,8.0,"Adventure, Drama, Fantasy",421157
Jagten,2012,115 minutes,8.3,Drama,294467
The Revenant,2015,156 minutes,8.0,"Action, Adventure, Drama",725300
True Romance,1993,119 minutes,7.9,"Crime, Drama, Romance",211103
The Exorcist,1973,122 minutes,8.0,Horror,368319
Logan,2017,137 minutes,8.1,"Action, Drama, Sci-Fi",669829
Lethal Weapon,1987,109 minutes,7.6,"Action, Crime, Thriller",241240
Incendies,2010,131 minutes,8.3,"Drama, Mystery, War",156539
The Lord of the Rings: The Two Towers,2002,179 minutes,8.7,"Action, Adventure, Drama",1517713
The Social Network,2010,120 minutes,7.7,"Biography, Drama",641696
Mulholland Dr.,2001,147 minutes,7.9,"Drama, Mystery, Thriller",329700
Casino Royale,2006,144 minutes,8.0,"Action, Adventure, Thriller",591692
The Martian,2015,144 minutes,8.0,"Adventure, Drama, Sci-Fi",779430
Stardust,2007,127 minutes,7.6,"Adventure, Family, Fantasy",259322
Wind River,2017,107 minutes,7.7,"Crime, Drama, Mystery",215704
Die Hard,1988,132 minutes,8.2,"Action, Thriller",806852
The Notebook,2004,123 minutes,7.8,"Drama, Romance",531924
Casino,1995,178 minutes,8.2,"Crime, Drama",478105
Unforgiven,1992,130 minutes,8.2,"Drama, Western",383760
Black Hawk Down,2001,144 minutes,7.7,"Drama, History, War",370772
The Hunt for Red October,1990,135 minutes,7.6,"Action, Adventure, Thriller",184742
The Big Short,2015,130 minutes,7.8,"Biography, Comedy, Drama",378201
"Three Billboards Outside Ebbing, Missouri",2017,115 minutes,8.1,"Comedy, Crime, Drama",452742
Coco,2017,105 minutes,8.4,"Animation, Adventure, Drama",410453
"Il buono, il brutto, il cattivo",1966,161 minutes,8.8,Western,702924
Sherlock Holmes,2009,128 minutes,7.6,"Action, Adventure, Mystery",593349
Minority Report,2002,145 minutes,7.6,"Action, Crime, Mystery",517316
The Girl with the Dragon Tattoo,2011,158 minutes,7.8,"Crime, Drama, Mystery",432750
Reservoir Dogs,1992,99 minutes,8.3,"Crime, Drama, Thriller",939030
Argo,2012,120 minutes,7.7,"Biography, Drama, Thriller",583010
The Hangover,2009,100 minutes,7.7,Comedy,730196
Rush,2013,123 minutes,8.1,"Action, Biography, Drama",444376
Captain Fantastic,2016,118 minutes,7.9,"Comedy, Drama",198995
A Star Is Born,2018,136 minutes,7.6,"Drama, Music, Romance",347693
The Fifth Element,1997,126 minutes,7.7,"Action, Adventure, Sci-Fi",442200
The Game,1997,129 minutes,7.8,"Drama, Mystery, Thriller",357977
Cidade de Deus,2002,130 minutes,8.6,"Crime, Drama",711393
Kill Bill: Vol. 1,2003,111 minutes,8.1,"Action, Crime, Drama",1022526
Nightcrawler,2014,117 minutes,7.8,"Crime, Drama, Thriller",482608
Drive,2011,100 minutes,7.8,"Crime, Drama",584612
Once Upon a Time in America,1984,229 minutes,8.4,"Crime, Drama",319579
About Time,2013,123 minutes,7.8,"Comedy, Drama, Fantasy",314870
The Pianist,2002,150 minutes,8.5,"Biography, Drama, Music",752462
Captain America: The Winter Soldier,2014,136 minutes,7.7,"Action, Adventure, Sci-Fi",758884
The Truman Show,1998,103 minutes,8.1,"Comedy, Drama",967098
Psycho,1960,109 minutes,8.5,"Horror, Mystery, Thriller",617961
Ah-ga-ssi,2016,145 minutes,8.1,"Drama, Romance, Thriller",121945
Ocean's Eleven,2001,116 minutes,7.7,"Crime, Thriller",528211
Her,2013,126 minutes,8.0,"Drama, Romance, Sci-Fi",556044
The Intouchables,2011,112 minutes,8.5,"Biography, Comedy, Drama",781639
Into the Wild,2007,148 minutes,8.1,"Adventure, Biography, Drama",585637
Hot Fuzz,2007,121 minutes,7.8,"Action, Comedy, Mystery",473929
The Incredibles,2004,115 minutes,8.0,"Animation, Action, Adventure",669629
Zombieland,2009,88 minutes,7.6,"Adventure, Comedy, Fantasy",531288
Cast Away,2000,143 minutes,7.8,"Adventure, Drama, Romance",539074
Room,2015,118 minutes,8.1,"Drama, Thriller",383730
Catch Me If You Can,2002,141 minutes,8.1,"Biography, Crime, Drama",860958
Star Trek,2009,127 minutes,7.9,"Action, Adventure, Sci-Fi",582872
Shrek,2001,90 minutes,7.9,"Animation, Adventure, Comedy",627314
The Imitation Game,2014,114 minutes,8.0,"Biography, Drama, Thriller",703173
I Am Sam,2001,132 minutes,7.6,Drama,144717
Rogue One,2016,133 minutes,7.8,"Action, Adventure, Sci-Fi",569713
Ratatouille,2007,111 minutes,8.0,"Animation, Adventure, Comedy",656626
Contratiempo,2016,106 minutes,8.1,"Crime, Drama, Mystery",154324
Million Dollar Baby,2004,132 minutes,8.1,"Drama, Sport",647811
Sense and Sensibility,1995,136 minutes,7.7,"Drama, Romance",105434
Back to the Future Part II,1989,108 minutes,7.8,"Adventure, Comedy, Sci-Fi",492097
Rio Bravo,1959,141 minutes,8.0,"Action, Drama, Western",57611
American History X,1998,119 minutes,8.5,Drama,1052265
Office Space,1999,89 minutes,7.7,Comedy,247116
2001: A Space Odyssey,1968,149 minutes,8.3,"Adventure, Sci-Fi",616650
Birdman or (The Unexpected Virtue of Ignorance),2014,119 minutes,7.7,"Comedy, Drama",591998
What's Eating Gilbert Grape,1993,118 minutes,7.7,Drama,219963
The Thing,1982,109 minutes,8.1,"Horror, Mystery, Sci-Fi",380259
Idi i smotri,1985,142 minutes,8.3,"Drama, Thriller, War",63690
Warrior,2011,140 minutes,8.1,"Action, Drama, Sport",443649
La vie d'Adèle,2013,180 minutes,7.7,"Drama, Romance",141792
Atonement,2007,123 minutes,7.8,"Drama, Mystery, Romance",257767
Trainspotting,1996,93 minutes,8.1,Drama,645257
The Perks of Being a Wallflower,2012,103 minutes,8.0,"Drama, Romance",472988
A Beautiful Mind,2001,135 minutes,8.2,"Biography, Drama",867553
Soorarai Pottru,2020,153 minutes,9.1,Drama,83131
Training Day,2001,122 minutes,7.7,"Crime, Drama, Thriller",401593
Portrait de la jeune fille en feu,2019,122 minutes,8.1,"Drama, Romance",72217
12 Years a Slave,2013,134 minutes,8.1,"Biography, Drama, History",654698
Taken,2008,90 minutes,7.8,"Action, Crime, Thriller",572620
Kimi no na wa.,2016,106 minutes,8.4,"Animation, Drama, Fantasy",211873
Midnight in Paris,2011,94 minutes,7.7,"Comedy, Fantasy, Romance",395781
Airplane!,1980,88 minutes,7.7,Comedy,219866
The Last of the Mohicans,1992,112 minutes,7.7,"Action, Adventure, Drama",155159
"Lock, Stock and Two Smoking Barrels",1998,107 minutes,8.2,"Action, Comedy, Crime",545692
The Curious Case of Benjamin Button,2008,166 minutes,7.8,"Drama, Fantasy, Romance",602917
V for Vendetta,2005,132 minutes,8.1,"Action, Drama, Sci-Fi",1051631
X-Men: Days of Future Past,2014,132 minutes,7.9,"Action, Adventure, Sci-Fi",670757
The Sound of Music,1965,172 minutes,8.0,"Biography, Drama, Family",211273
La vita è bella,1997,116 minutes,8.6,"Comedy, Drama, Romance",639135
L.A. Confidential,1997,138 minutes,8.2,"Crime, Drama, Mystery",542296
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 minutes,8.4,Comedy,458874
Inside Out,2015,95 minutes,8.1,"Animation, Adventure, Comedy",636814
X: First Class,2011,131 minutes,7.7,"Action, Adventure, Sci-Fi",655052
Pan's Labyrinth,2006,118 minutes,8.2,"Drama, Fantasy, War",629385
The Blind Side,2009,129 minutes,7.6,"Biography, Drama, Sport",301018
Hidden Figures,2016,127 minutes,7.8,"Biography, Drama, History",207618
The Wizard of Oz,1939,102 minutes,8.0,"Adventure, Family, Fantasy",375268
Salinui chueok,2003,131 minutes,8.1,"Crime, Drama, Mystery",149872
The Butterfly Effect,2004,113 minutes,7.6,"Drama, Sci-Fi, Thriller",458578
Dead Poets Society,1989,128 minutes,8.1,"Comedy, Drama",439190
Planet of the Apes,1968,112 minutes,8.0,"Adventure, Sci-Fi",167833
Tangled,2010,100 minutes,7.7,"Animation, Adventure, Comedy",414849
Rocky,1976,120 minutes,8.1,"Drama, Sport",530239
Finding Nemo,2003,100 minutes,8.1,"Animation, Adventure, Comedy",967955
Shaun of the Dead,2004,99 minutes,7.9,"Comedy, Horror",522484
Doctor Zhivago,1965,197 minutes,8.0,"Drama, Romance, War",71296
The Help,2011,146 minutes,8.0,Drama,434987
A Few Good Men,1992,138 minutes,7.7,"Drama, Thriller",241199
Singin' in the Rain,1952,103 minutes,8.3,"Comedy, Musical, Romance",223876
The Count of Monte Cristo,2002,131 minutes,7.7,"Action, Adventure, Drama",131160
Y tu mamá también,2001,106 minutes,7.6,Drama,117650
Sin City,2005,124 minutes,8.0,"Crime, Thriller",743736
Scent of a Woman,1992,156 minutes,8.0,Drama,272492
The Untouchables,1987,119 minutes,7.9,"Crime, Drama, Thriller",288186
Amadeus,1984,160 minutes,8.3,"Biography, Drama, History",376055
The Peanut Butter Falcon,2019,97 minutes,7.6,"Adventure, Comedy, Drama",72444
The Godfather: Part III,1990,162 minutes,7.6,"Crime, Drama",368934
Edward Scissorhands,1990,105 minutes,7.9,"Drama, Fantasy, Romance",454437
"Monsters, Inc.",2001,92 minutes,8.1,"Animation, Adventure, Comedy",833537
Lost in Translation,2003,102 minutes,7.7,"Comedy, Drama",424512
Willy Wonka & the Chocolate Factory,1971,100 minutes,7.8,"Family, Fantasy, Musical",182615
E.T. the Extra-Terrestrial,1982,115 minutes,7.8,"Family, Sci-Fi",379557
(500) Days of Summer,2009,95 minutes,7.7,"Comedy, Drama, Romance",480724
Moonrise Kingdom,2012,94 minutes,7.8,"Comedy, Drama, Romance",326082
Casablanca,1942,102 minutes,8.5,"Drama, Romance, War",532047
Man on Fire,2004,146 minutes,7.7,"Action, Crime, Drama",335072
Children of Men,2006,109 minutes,7.9,"Adventure, Drama, Sci-Fi",472661
Apollo 13,1995,140 minutes,7.6,"Adventure, Drama, History",275687
First Blood,1982,93 minutes,7.7,"Action, Adventure",233162
Manchester by the Sea,2016,137 minutes,7.8,Drama,255458
Star Wars: Episode VII - The Force Awakens,2015,138 minutes,7.8,"Action, Adventure, Sci-Fi",873683
Dances with Wolves,1990,181 minutes,8.0,"Adventure, Drama, Western",246201
Hauru no ugoku shiro,2004,119 minutes,8.2,"Animation, Adventure, Family",347141
Spotlight,2015,129 minutes,8.1,"Biography, Crime, Drama",432681
Toy Story 4,2019,100 minutes,7.7,"Animation, Adventure, Comedy",214239
Mulan,1998,88 minutes,7.6,"Animation, Adventure, Family",263190
Platoon,1986,120 minutes,8.1,"Drama, War",388309
Gran Torino,2008,116 minutes,8.1,Drama,731887
Star Wars: Episode V - The Empire Strikes Back,1980,124 minutes,8.7,"Action, Adventure, Fantasy",1182899
Apocalypto,2006,139 minutes,7.8,"Action, Adventure, Drama",295722
Home Alone,1990,103 minutes,7.6,"Comedy, Family",498387
American Gangster,2007,157 minutes,7.8,"Biography, Crime, Drama",399982
Toy Story,1995,81 minutes,8.3,"Animation, Adventure, Comedy",908292
"O Brother, Where Art Thou?",2000,107 minutes,7.7,"Adventure, Comedy, Crime",293867
Gone with the Wind,1939,238 minutes,8.1,"Drama, History, Romance",295422
The Warriors,1979,92 minutes,7.6,"Action, Crime, Thriller",95868
Little Miss Sunshine,2006,101 minutes,7.8,"Comedy, Drama",448051
The Deer Hunter,1978,183 minutes,8.1,"Drama, War",317685
Silver Linings Playbook,2012,122 minutes,7.7,"Comedy, Drama, Romance",672485
What We Do in the Shadows,2014,86 minutes,7.7,"Comedy, Horror",162676
The Pursuit of Happyness,2006,117 minutes,8.0,"Biography, Drama",462043
Gifted,2017,101 minutes,7.6,Drama,104348
The Hobbit: The Desolation of Smaug,2013,161 minutes,7.8,"Adventure, Fantasy",612114
Dallas Buyers Club,2013,117 minutes,8.0,"Biography, Drama",452833
Young Frankenstein,1974,106 minutes,8.0,Comedy,145929
Hell or High Water,2016,102 minutes,7.6,"Action, Crime, Drama",209758
Marriage Story,2019,137 minutes,7.9,"Comedy, Drama, Romance",261680
Mary Poppins,1964,139 minutes,7.8,"Comedy, Family, Fantasy",160906
Changeling,2008,141 minutes,7.7,"Biography, Crime, Drama",243133
Blue Velvet,1986,120 minutes,7.7,"Drama, Mystery, Thriller",185242
La piel que habito,2011,120 minutes,7.6,"Drama, Horror, Thriller",142434
The Last Samurai,2003,154 minutes,7.7,"Action, Drama",407318
This Is England,2006,101 minutes,7.7,"Crime, Drama",117113
Big Hero 6,2014,102 minutes,7.8,"Animation, Action, Adventure",420592
How to Train Your Dragon,2010,98 minutes,8.1,"Animation, Action, Adventure",681323
Coraline,2009,100 minutes,7.7,"Animation, Drama, Family",202982
WALL·E,2008,98 minutes,8.4,"Animation, Adventure, Family",1023241
Twelve Monkeys,1995,129 minutes,8.0,"Mystery, Sci-Fi, Thriller",587627
Blazing Saddles,1974,93 minutes,7.7,"Comedy, Western",128411
The Bourne Identity,2002,119 minutes,7.9,"Action, Mystery, Thriller",517070
3 Idiots,2009,170 minutes,8.4,"Comedy, Drama",358004
Who Framed Roger Rabbit,1988,104 minutes,7.7,"Animation, Adventure, Comedy",185711
Up,2009,96 minutes,8.2,"Animation, Adventure, Comedy",957228
Deliverance,1972,109 minutes,7.7,"Adventure, Drama, Thriller",100752
The Fighter,2010,116 minutes,7.8,"Biography, Drama, Sport",346666
The Lives of Others,2006,137 minutes,8.4,"Drama, Mystery, Thriller",366557
Captain Phillips,2013,134 minutes,7.8,"Adventure, Biography, Crime",429807
Inside Man,2006,129 minutes,7.6,"Crime, Drama, Mystery",348496
Fear and Loathing in Las Vegas,1998,118 minutes,7.6,"Adventure, Comedy, Drama",264454
Hachi: A Dog's Tale,2009,93 minutes,8.1,"Biography, Drama, Family",261140
